panel,series,point,x,y
ordinal,Middle,77,1.35,0.3666287410280325
ordinal,Middle,78,1.4000000000000004,0.3619205668273011
ordinal,Middle,79,1.4500000000000002,0.35711728994695824
ordinal,Middle,80,1.5,0.35222563784243854
ordinal,Middle,81,1.5499999999999998,0.34725235078771777
ordinal,Middle,82,1.6000000000000005,0.3422041650252289
ordinal,Middle,83,1.6500000000000004,0.3370877962860795
ordinal,Middle,84,1.7000000000000002,0.3319099237439953
ordinal,Middle,85,1.75,0.3266771744631769
ordinal,Middle,86,1.7999999999999998,0.32139610839659244
ordinal,Middle,87,1.8500000000000005,0.3160732039872272
ordinal,Middle,88,1.9000000000000004,0.3107148444204527
ordinal,Middle,89,1.9500000000000002,0.3053273045710583
ordinal,Middle,90,2.0,0.29991673868361346
ordinal,Middle,91,2.05,0.2944891688197717
ordinal,Middle,92,2.1000000000000005,0.28905047410092594
ordinal,Middle,93,2.1500000000000004,0.28360638076933775
ordinal,Middle,94,2.2,0.2781624530855369
ordinal,Middle,95,2.25,0.2727240850744786
ordinal,Middle,96,2.3000000000000007,0.26729649312769815
ordinal,Middle,97,2.3500000000000005,0.26188470946356834
ordinal,Middle,98,2.4000000000000004,0.25649357644278514
ordinal,Middle,99,2.45,0.251127741731432
ordinal,Middle,100,2.5,0.24579165429942146
ordinal,High,0,-2.5,0.06484948956609893
ordinal,High,1,-2.45,0.06698321713292787
ordinal,High,2,-2.4,0.06918195646832648
ordinal,High,3,-2.35,0.0714473430668483
ordinal,High,4,-2.3,0.07378103059254637
ordinal,High,5,-2.25,0.07618468941290957
ordinal,High,6,-2.2,0.07866000499525416
ordinal,High,7,-2.15,0.08120867615989091
ordinal,High,8,-2.1,0.08383241318450729
ordinal,High,9,-2.05,0.0865329357543464
ordinal,High,10,-2.0,0.08931197075296426
ordinal,High,11,-1.95,0.09217124988859404
ordinal,High,12,-1.9,0.09511250715144248
ordinal,High,13,-1.85,0.09813747609760215
ordinal,High,14,-1.7999999999999998,0.10124788695568299
ordinal,High,15,-1.75,0.1044454635527462
ordinal,High,16,-1.7,0.10773192005667787
ordinal,High,17,-1.65,0.11110895753275907
ordinal,High,18,-1.6,0.11457826031289153
ordinal,High,19,-1.5499999999999998,0.11814149217670633
ordinal,High,20,-1.5,0.12180029234464584
ordinal,High,21,-1.45,0.12555627128403657
ordinal,High,22,-1.4,0.12941100633019498
ordinal,High,23,-1.3499999999999999,0.13336603712570994
ordinal,High,24,-1.2999999999999998,0.13742286088222577
ordinal,High,25,-1.25,0.1415829274703222
ordinal,High,26,-1.2,0.1458476343444296
ordinal,High,27,-1.15,0.15021832131114288
ordinal,High,28,-1.0999999999999999,0.15469626515079327
ordinal,High,29,-1.0499999999999998,0.159282674103697
ordinal,High,30,-1.0,0.1639786822341247
ordinal,High,31,-0.95,0.1687853436867084
ordinal,High,32,-0.8999999999999999,0.17370362685171947
ordinal,High,33,-0.8499999999999999,0.17873440845739752
ordinal,High,34,-0.7999999999999998,0.1838784676092775
ordinal,High,35,-0.75,0.18913647979823156
ordinal,High,36,-0.7,0.19450901090069828
ordinal,High,37,-0.6499999999999999,0.1999965111963078
ordinal,High,38,-0.5999999999999999,0.20559930942978621
ordinal,High,39,-0.5499999999999998,0.2113176069456436
ordinal,High,40,-0.5,0.21715147192567452
ordinal,High,41,-0.44999999999999973,0.22310083376071776
ordinal,High,42,-0.3999999999999999,0.2291654775894053
ordinal,High,43,-0.3500000000000001,0.23534503903775839
ordinal,High,44,-0.2999999999999998,0.24163899919443455
ordinal,High,45,-0.25,0.2480466798571721
ordinal,High,46,-0.19999999999999973,0.25456723908650036
ordinal,High,47,-0.1499999999999999,0.261199667103038
ordinal,High,48,-0.09999999999999964,0.26794278256471427
ordinal,High,49,-0.04999999999999982,0.2747952292599334
ordinal,High,50,0.0,0.28175547325211536
ordinal,High,51,0.050000000000000266,0.28882180051010486
ordinal,High,52,0.10000000000000009,0.29599231505768264
ordinal,High,53,0.15000000000000036,0.30326493767379903
ordinal,High,54,0.20000000000000018,0.31063740517318716
ordinal,High,55,0.25,0.3181072702946991
ordinal,High,56,0.30000000000000027,0.3256719022220388
ordinal,High,57,0.3500000000000001,0.33332848775856194
